Block: 322
Row Block TimeStamp TraceOriginalId DocumentHash ContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
6189 322 2021-01-16T00:59:26.463Z 50a7079f12c6bf4a188af8fcb6b889905d5fef72d765fe6dee6978949d18fba8 50a7079f12c6bf4a188af8fcb6b889905d5fef72d765fe6dee6978949d18fba8 0f939acb11e6aebc7197315729e67dd1658b6ad3fe2ba2b54ec1c5a9157d93a6 CRE 1 02d644e3887e9649acde7592b8973813a4a270aa9a406475e996d466e4be977fd3 03573e752ffaad1f1499eb38a955aaa0b9e0cd359383e3c4873be694a0e3a838da hQ+jiAIoD6ApYT+SWEFQP3a/BEqhdtsrJZ475Q229cR0xunRlMIGtzrStV4JkmKEQBNPj+9V7fwUeg5ZFK4t0w== 50a7079f12c6bf4a188af8fcb6b889905d5fef72d765fe6dee6978949d18fba8 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 jUZq/aUpibm1mXFwOsPJTyUvgXvjq3Pc8pjG1Uu+sD8FMRskiTK7J3oLraccsXM5mButnEIpxzjAuG06MQz9XQ== HSiguPDQUl5Q2EUzpqUlbnWUNMrNRpXt5gFbXYLRGRSo2XEMzgec363DwkyUZieP6AaRV8hNvrPpRM0sOPqTNw==
6190 322 2021-01-16T00:59:47.522Z e1f67d3206ef7a53521d69973bfc20564aa234ed2a27c1fa7a2ff9c61ab58033 e1f67d3206ef7a53521d69973bfc20564aa234ed2a27c1fa7a2ff9c61ab58033 e1f67d3206ef7a53521d69973bfc20564aa234ed2a27c1fa7a2ff9c61ab58033 HBT 321 0255b05f4ae25038025a67474b3ffbe9d70fef85cad4b66f6594c4d6929ff290cc 02bf79c616bfeb261e0bc70aedb328fef1b76f3680f89ca4db97add507fa8d45c7 tG/Azn6NJ1vOo6SetVmVynIGBS90gePs0BQxMSNLeMfr0D2tSkolp1Um1XVUvion+X4dcIdryaaKH5qjO3JlTw== e1f67d3206ef7a53521d69973bfc20564aa234ed2a27c1fa7a2ff9c61ab58033 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 btRL7n9bM/PPb2nrHSYPZxgt3Y5ceHA86fyGzN8CtLbnz2BNQ85qtuNkBSov+ScVWjK+jRTWH7YtDa5xWtMhgw== tMdzsHfBRw4f+PTTBkpDLjFwh8W7kyynakyW4zQEuLSLHTXtTNmb2T056ilRCxOTnkFYtF5BNaZJYoBU2/2Z8g==
6191 322 2021-01-16T00:59:50.583Z 41d17f17bd8f668aaa8da0aeda3eff0595837304b1418e562f9fb1d9d10df0f8 41d17f17bd8f668aaa8da0aeda3eff0595837304b1418e562f9fb1d9d10df0f8 41d17f17bd8f668aaa8da0aeda3eff0595837304b1418e562f9fb1d9d10df0f8 HBT 321 03a0c295559d19cd215bab67b958d6bea6f46e85c13bbab6ae436e285c66bc989d 0258e6df32146746dade35214180befae3db259743d18f8044742d82331bd76a48 uSlE3WGW5vW96kYnY1l3atjEZkuu14eNhTMp/NJFk9xjuvXqPEFBXtRYNns2ERNpo6erNJNInZ60E62jVVjIxg== 41d17f17bd8f668aaa8da0aeda3eff0595837304b1418e562f9fb1d9d10df0f8 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 vmeE3t4GpKM2y0x7YJmp0E2lmr5z1ImrmiOGz1ms28UVmhlG2SjrdnknUcFFAcqEENaQ5YBgyhhJridHNLJLJg== rW+3EE2sf/CLQE+CHwRxjH1BVFhxeDGW0JSK08raYmNvq9rse5tPOeHkQvr7rySronlluVcvH2CtmUp0ymkbCQ==
6192 322 2021-01-16T01:00:00.403Z 3ff8b73e8f0aa84c301ae9a2bf95afafb7fbcb379256c5be32c6a6f582015490 3ff8b73e8f0aa84c301ae9a2bf95afafb7fbcb379256c5be32c6a6f582015490 3ff8b73e8f0aa84c301ae9a2bf95afafb7fbcb379256c5be32c6a6f582015490 HBT 321 02f0e4f7f1715c4074b24436f412c94df3c9885d595058c6626d96b87fafd8c6c0 03f6512076e1e62718b7ba9f2a68002951fcb7f00879699fa5bee43bfb716dca4d Rw1wVUADTwA8D6VNwbzwuMiJ63K4CgcbMlBIqu6dqIyOPjRQxd45xNE3b78BGI/OMW/bTeO/VSve9YJU6XBQBQ== 3ff8b73e8f0aa84c301ae9a2bf95afafb7fbcb379256c5be32c6a6f582015490 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 5v9ZVRDctgONBI+WObUSaQox73lULosEXNUn50IkTRi7P/G3HT7+pe+5maIXoKGlkmLAN9pUo1A1ARLf7o+d9A== 1tqf40Obsh4nINBMnQ5fSnMBwhnR08yUcTwvbsVva8cgE5YiyLVhV/7izfNS6tmMosb8K10Kl4r95t4j51jeaw==
6193 322 2021-01-16T01:03:14.431Z 3e76870576767f9e838604e5ec7e4ed43c894906ebc2f8d6cbd3267e9659fd99 3e76870576767f9e838604e5ec7e4ed43c894906ebc2f8d6cbd3267e9659fd99 3e76870576767f9e838604e5ec7e4ed43c894906ebc2f8d6cbd3267e9659fd99 HBT 321 03c779c2e4b5c937049f68cc3dec88504e0057ec3688c0f52f535ad768b12ca958 03c20e97f1b822f4a7d14dc8f6f0b64334c878403406431fd04d922e72c77cfe09 eVdbGjgcLuxH+BAj9Bl9wqa5ZRnb5EBBrK+nJU+GwxD89zXedDNHsRzho2Mm/bYy0s4OTRJc9F+oPlrS1VR6zA== 3e76870576767f9e838604e5ec7e4ed43c894906ebc2f8d6cbd3267e9659fd99 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 evwZxZVjq2yX2o64IveELnlp0sn1H62F4mSv0BmoIQ9rjjXLGNzrf0isIvdkkObqWsbEUlP5k/7pNbBEPKWmig== Ei+Pe+12avlppO64Sf7Wn8dQOx+vOoq0G1bnWGwQG/zuNjUAcOw+8VBlXYTutbIuZp0QV3Kuylh+IabYIp4tRw==
6194 322 2021-01-16T02:15:29.213Z a0d55b71a569ae999853316f7e1802eafd19f5714a798880d1045c3fbb76ef8c e06e50d7bf156715161ef665b2c6b387f80ac7b7a65b6832811c2ac087902c8f 30d5c766670935125bfe22da3bccf0ec8ba620ab1a3d47e199c34742d8fd4b06 AME 2 026e6ae0daf5c64f9bd2c820461518e390675329f9f44bf587b8324fe91d825dd9 03e8b54a60359020bdb1f0d615a91f7219c8c0331ab5a03a7fa354813bfaf78407 GlHd71I41ENmz0gHNTJKUOJxf1v86+ZM8UtsPZy3aVRkREhJ8v3CT7CcEodkz6vGXVcapAdnWOxEDv5JZUqfNg== e06e50d7bf156715161ef665b2c6b387f80ac7b7a65b6832811c2ac087902c8f +GSSPUG4UoeOkhJAIrbtTTy/LTEufQGeVzt6BIhFpCCm9hWUu18uuWJm1NMkVjHv+6sXuWVuG6ZomI2OKez/zg== 0an8FnQknEp1JCozEOAURcCZGaJc97C09bdapqw0hm962p8LsaRg7GIy7w1vuq3wcl+CXv6RX870C9J09D8Lxg== 8ZvKj8OrklJdrMPGnB1viPb+kc9Lh5Y2/ZS+TTUGAy6WmlNbY+UUCzeRghhdZ6238KVT8pZaaz2flWB80FkF9Q==
6195 322 2021-01-16T03:35:01.767Z 796e422d097b124acb5ca14d3aaf4d9e906f5b717383d28fa6f2ebfdec106816 f2d05deba6a9c55e4d73eb6a201abf9ed354c9009aae1ebdcb9f90cd162dc9d2 1f1cc78b0e605bb62cef41b6a9c1189f32285f8fdb4138f4fa6954e8ea1fe394 AME 2 0380b5f789999d333a68a1c47d0abe650c89a17e0fcf45906d4f9b7f6ec8700b67 0337cc46ac2d82b7f5f1d18dfe886279b74f0b24a335e9b6b5a853d55a3889ac13 NQ2qP5vYVW/OhEsbvfeV8DvW59QGdEYpzmv+8VUHUvVRnGNX1v3SgPdmbBbV1YmwXtjoAUPTcqWsEJhahYZfuA== f2d05deba6a9c55e4d73eb6a201abf9ed354c9009aae1ebdcb9f90cd162dc9d2 ODODlX6KJzbAFcUQOT0ry9WTRKxNYV2oKOSKske4tcCtG3Salri8b/xyZ9mCRzqqU6aK5VvqR1HtwnOL7xZAvA== GDT3NnFYEuPfp9bq0nM4006yjvX5kJ6j915aad6hXHfX5CQu4A0PEcxs+jRuH/5Ktg09e9ASqaUctNlXKbRGRQ== Y1f3Kt5Y6nJ5Ww9BjmyHqA0ZiaW1IIOzaGEmUa5ASn4lggPXqPG6EgXVCC5sfQc0EBPEHNzjxwjdUPmId5yG/A==
6196 322 2021-01-16T04:43:31.931Z ab5bbf70d47425efdea06988409dea58c521f2a48a80a4cb258b2c8b86b42fca 31e011710cd0afb765ad9fa9cc02b6223b458f7eae165233b120949bde3a9a23 fb35c4539ab684ab122de00b92863da0b9bb18b3e1b0d09047e951da455ff424 AME 2 02830b361896c1f5685a7a787608ee266597437baf25d6546f043a6b0f916305bb 02817b5da52faf4ade331a13230855685406948bfc6280c76bc73a39a7813b0c21 lrdY8I+2gY8em6rmMG5nIL2+NZWmo2g86TRRLroPNCn9qSo7zwwTVZoHFCKy8P4huxPNOxqaxgKJjfZ9C4eiRQ== 31e011710cd0afb765ad9fa9cc02b6223b458f7eae165233b120949bde3a9a23 g0iuWmzffkItMyGcEvJEf00Yqiqnir/GEx1T9oxXWkMTqTlj148AAFyMgryuQp43E9drI4ZZt8r40X90/eDQGQ== 4EnK6PnBeqAkFWjGek7evE8eAOP4uxh/y+Xyesiui4C1JCklssmpIfHK0efarAaY0PXCrgrkRV0ytDXxYm0MCQ== S6BIhdrrKhqhO4emraZEv5crG6gwW6YJ3tdsJ7LQMc0A2vQFstDx6QZMS/sFMKDS8FtDcagiB9OUQ9bUulNnCA==
6197 322 2021-01-16T05:58:08.119Z f56a49848b233d816a215392d8c17c5613eab2f01d516d55ecc70c6e64f53cce 31654d639abb39481c851335b3459735add97462f32f0957a9466f07798ea658 f180909926a9a32f5458b1048eb5f8f54c2620f11c4eb3594ef254f764988cbb AME 13 034dc31184ca379be4f1c0c428d944b3cc00e650b526b2d9a1129e502591226f74 03e728269b88a28d7f6e8848e00313a7d864068f72b6a62961aa762bf9798a937b Oe0KYV3U1PGpHUEMn3B0MoMU2fYXtQ7IxDhYEy1D4fNXy3aEzA+ecaSXZQMOTxWI+Apb18BDgZgC5mEK6Mw0lA== 31654d639abb39481c851335b3459735add97462f32f0957a9466f07798ea658 XDFnK2EHk2OjH53VKrqAoNs5H382Qp9ex2NAxoQdI27scpv3ZwSkGHEq1HELK4W4HRI5BR9zN0mFqHi7ZXXoJA== v/kNnMe12f0NqYC8E9OSfQGc+vxLYBAcYzX1TZmXLg7CPajOAl8vw29cR6ek0VVsAN5YxstEvsxt99bGY/pkvw== nZ8sXIY00WezTFvSizox7WMQwBY+zqu4Q6+9pRMaOUMRVXHKO9ZMk7ROn1hsMR8IvXd16vt0tEGl25uEumEMHg==
6198 322 2021-01-16T07:24:29.287Z f8a0ac73a3fab884f2670ce24b3fb15cce65c808fc8ae0c986abd63c653d08db 3b5d06207b047359dfbfed1f2d90dc7bc16513cac7f8c58ab7449b9148114c1c 8784c988e7d3eac596a5555c6aedf35eea12bf0db18829dc17609bc9ace0b859 AME 2 0287baaa77cd4fd45633601926181a471606f0b3484585d98aae05c7d2775c9444 026e606fbbc9d188feb0d9aad178f46d1a9707654ea938c100f7161bc7f5915c20 x/2oHajbkA7a1EQtGTC1wZFJnNtP5zSMxbMNcpKp8dcx/3f2nFFC63SVEE+T+pyjkTH8VjFLYBHQXY72SHRTdg== 3b5d06207b047359dfbfed1f2d90dc7bc16513cac7f8c58ab7449b9148114c1c Tt584xo4vqFHLFJnrRHyE4OAhcymyEgw1ff0eCs+cz9GDy+/VbHkhWNVjWILprq61JDLbW0Yeq2mC9wUyiuLUA== aEAMstxB4bRV75aw6lVx1/ztHnbRjYl3wAdajBGKUMncAk4iXtGNSgY2J9KNVCtwK/vk0u6JkxMX2Un0UT4ZnQ== b4+Yp82aq7kmPonbsqifYfAzTf+THHgY7C3OGJ9i5gau+hh/iviSgOxxc/xaSQJb9ESsrgVxzQjdLF1on+p4dQ==
