Block: 564
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
12154 564 2021-09-16T00:35:55.385Z 2021-09-16T00:35:55.055Z 4e3fd068bb117a858c4b1eb8921afde437373b26c058e3b751209bf955eec664 c73a7523220436bb16126d147b3844fc112f77a184bad53ea904f094b009104a ee51821e7d2410d985fb1b27e839498aab999e1dbdad5f494d3dff67457e0fca 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME 2 0373e6e3c0c7d36da8b5ba178e6e5893e5200372600d0e9568d30fb2d06ccfc6e9 03d23a27dcda88b32f077aef8efdb07320bde3c78be261b20a1b4a7de6c717a67c gaJWWhjq82XDiZHSGbAiiQofqqFmmei5jbgswIf5T6LbOPz1KFb9mJNr+SeQMivud5CrDieP8m2cmLxLg10UAg== c73a7523220436bb16126d147b3844fc112f77a184bad53ea904f094b009104a 1fku7oJrI2RTiu0Dd0Ii738i/47U1nVJpIY697TyWV6Eyn35VATKtASSY3znoHLOvZpKgoVgAoYbPrJaNhlkWw== iicNf3Ufs70ve961LbaT9UeUZ4LguEWJbtKOzJLLU7v3K/egOBY2icEU5DaZNgPusWsVYKSryBsygaRXQhmxFA== NbQKSvxye81M/z5Kv7zkfVS+aiRrqg8rEBBbYrSUrrw9ZoUy8Ve81gdanajP/0dIg5o5LHHNIkIoATR6nmvf4A==
12155 564 2021-09-16T00:36:16.172Z 2021-09-16T00:36:14.243Z 231e8f1380ac2115d18ac4aa2611c1d48d17d07c3805cde244a627a92b08a24b 231e8f1380ac2115d18ac4aa2611c1d48d17d07c3805cde244a627a92b08a24b 231e8f1380ac2115d18ac4aa2611c1d48d17d07c3805cde244a627a92b08a24b 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 563 0308306848c228a1c47a83eb9debb32d776f171d12c36a51b71e11e9799b885761 03342f81de8bc62512bbc791c26422b0fff76a3dd642145524179c4d89bffc24a2 mb3NK+u8GwnclOcBPFVuXU+EE40g3tJ37U+OWPJXViukYNiRxW01OxQqvYijsxIJX5r2tTu2AOscqm6oGbAeew== 231e8f1380ac2115d18ac4aa2611c1d48d17d07c3805cde244a627a92b08a24b 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 6JsOWKq6W3kZwjHANbUyPZ5396TOrxTB+DrzydnBuoz1xBFJE7wQHvw9+0Ul6Sc0sJl+FI5EgeEYE/nBl7gVhA== aKULHXaN2pO2JdRj6IqY23pZZZ3TTK1f/bxfhLOlatwQZJbI2BG4+KWBErsRPrkD80HQ1LodErZYbUbdsJKY1Q==
12156 564 2021-09-16T00:36:18.021Z 2021-09-16T00:36:17.836Z bda855ae8b66ee2dc555194683c5030811fba483185fba94428ae8996bfc39e5 bda855ae8b66ee2dc555194683c5030811fba483185fba94428ae8996bfc39e5 bda855ae8b66ee2dc555194683c5030811fba483185fba94428ae8996bfc39e5 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 563 038179e02e0130dbf55be3e0bf80262b23ee99e4aa388346582bd8c4b50f2e9a7a 026513a36be565250d031620c5012e67b914ebfa3fb4cd3e8ae8864902f87760c7 a4gwfPO1q6ZIryR06f9Oy1iTkD0qKBblIbwrVGtRaCGz2Ez3gC5QTSTCsH2czPBEvXnt5b/Ga3Lcb1OCD4Twig== bda855ae8b66ee2dc555194683c5030811fba483185fba94428ae8996bfc39e5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 m5xmroRlNme4hff+JrjJ/tEQ68w7DoocpK0XiEfCyjRxUUEXn09Lj+PAVzV/SxW5u8aWKrZFIa+stYxbAR7hRQ== 8tuUf2IfJDC8Ny9zsDUk1JA8NoPHhjitnhSkWbaQhQ0W55gi45zix2VThfG0J8C0tbFR96WetjQ5KnVTAtCstg==
12157 564 2021-09-16T00:36:21.829Z 2021-09-16T00:36:21.655Z 5cef6eefcd510a3fc1f4c0f85ffcffabbde92a9df39f946caaef8e7e32a8c6bd 5cef6eefcd510a3fc1f4c0f85ffcffabbde92a9df39f946caaef8e7e32a8c6bd 5cef6eefcd510a3fc1f4c0f85ffcffabbde92a9df39f946caaef8e7e32a8c6bd 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 563 02f0e4f7f1715c4074b24436f412c94df3c9885d595058c6626d96b87fafd8c6c0 039b0b3aed22c823fa111a90d0dea339503bdbdaec9bbf78651c1165a1df5f4a51 BHCy3nfzX8O+nlDHyGy1hLMyjLhgagnAyTha7hgQkkOTeP6r7wVSXsbawJtxqIA8WfdbENYVNEA4Ef0P/7wMSA== 5cef6eefcd510a3fc1f4c0f85ffcffabbde92a9df39f946caaef8e7e32a8c6bd 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 BUznt8Kbptek+NAtEZDBVkCGf+n2ysWv29H3lTVkcLmo1fZ6ok5akBXierRTsHgU1kJS1r7tUX5F+NeUN0KxBg== oxL+Lt5qtEITiUk/gOfRjh8YOOxyA/1IEWePvzUVp1/uuxfN5Z0h7DsdiYfBnmaz+/By7hOZdyLnpkoOweT4QA==
12158 564 2021-09-16T00:36:26.375Z 2021-09-16T00:36:26.153Z 4dbc258e5f8a9e5b8b87c81e349437cee7ec09446f110ee495b2207d50c10a4d 4dbc258e5f8a9e5b8b87c81e349437cee7ec09446f110ee495b2207d50c10a4d 4dbc258e5f8a9e5b8b87c81e349437cee7ec09446f110ee495b2207d50c10a4d 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 563 0255b05f4ae25038025a67474b3ffbe9d70fef85cad4b66f6594c4d6929ff290cc 03a6e0c24f855e8a7011e0c413c43b4c5cbbfa12e27b4f2a7e1a11f87f858ffba8 fY7HGnOqbxiVJTRIfoKABJQ6SB8QLvjjA+zSoDuq97NcSlQOkk/jFp7XiisdPhBL0O0PXBuGeSuyNet5a4RSeQ== 4dbc258e5f8a9e5b8b87c81e349437cee7ec09446f110ee495b2207d50c10a4d 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 GgFTz3kgbbeew4qH6K/CtKT+81Vb83Notk5eko6imXxgqFBvTsTCsOms4pflQojqX1LNpEpmS1cFkk3+If0lgQ== QP8tIa5yxDeExgXHJZvuxeFOIJDgDntcDOV5zPqpMbPJSWuWJ6yWN3lGOJDNg1JS48bRSaGjUYnowJtDxC2Rrg==
12159 564 2021-09-16T00:36:36.195Z 2021-09-16T00:36:36.143Z 149a570e0ff82ed9d8af0f76ba1ac14c4db38d6fd185dfbe833bcf2a10dcea47 149a570e0ff82ed9d8af0f76ba1ac14c4db38d6fd185dfbe833bcf2a10dcea47 149a570e0ff82ed9d8af0f76ba1ac14c4db38d6fd185dfbe833bcf2a10dcea47 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 563 03a0c295559d19cd215bab67b958d6bea6f46e85c13bbab6ae436e285c66bc989d 039b246554ea9be6f55f6aedab86983df2591bb7a1bbc7b49bc31898e97a538252 HB76ubUVZ38mPhK9QNcby9pIAo4w13LdhbtQ09vn6NGuFdVMKpMRAShEywthq0DdjwQ436G7q/5vE87nKGuVFg== 149a570e0ff82ed9d8af0f76ba1ac14c4db38d6fd185dfbe833bcf2a10dcea47 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 2xy18dU5cXchRvlLs26je2qP0dllwMlzUwMBsTgMTForT3R4oK2tAIUiWCH4aDfCIPta1lQgZqiEAEWao7fZzw== Bdc8FA08gyaAO4lP3+ssDJadl/DtUz2sRkzgAtjvHjgomFgTim/4lIBkMeGRdLWg/vwDq4aokZvm7YGBK98QNg==
12160 564 2021-09-16T00:50:38.678Z 2021-09-16T00:50:38.363Z f65ed459ab09c0d79a18fe26c79707b20810f3fbeb81592b4cd7dc512afcaf80 f65ed459ab09c0d79a18fe26c79707b20810f3fbeb81592b4cd7dc512afcaf80 f65ed459ab09c0d79a18fe26c79707b20810f3fbeb81592b4cd7dc512afcaf80 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 563 03c779c2e4b5c937049f68cc3dec88504e0057ec3688c0f52f535ad768b12ca958 03dd090342b25d56004775633f40c897eee6618bbdb8110c92b31b62ac9c421386 KiHgGo3xC4M3pSHTnwRiUuIsHvqmbqVvmpHERGNwbz+rcVwZNH1NvOCHuCLxaknZWqF90BN1h8KGHWhseNCa9w== f65ed459ab09c0d79a18fe26c79707b20810f3fbeb81592b4cd7dc512afcaf80 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 OPskVp7fwcf2ahFeXHGNMQe7jPgqEb6bR6O39gfEq8Avq+ZGJIfhDiPj4PAPo/FochpFYf6inEwVDl/r4uzdLg== 02ylVk/2wWyOaE6BjrgBhFhh+MPaQBUOyapflnMY0iOCEGrWQywxbIM83pWth1q8ZLqn7m1+ma+Ixw4yDtvurg==
12161 564 2021-09-16T02:32:15.445Z 2021-09-16T02:32:15.171Z 0f35ab924657acf1ba393ecc4b1062c1ac845f8271249208322686c33b598f22 b9250b824c19396d68e1b80065978038821693fcf0445f58edcb6b03dcf5b051 1f71db5d7800401cef2ac955005f2a768a67e7b1482842d70d427a6dfc2fed23 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 CRE 1 0338c13216698b8071f2c4211db20bf4d9a262a9818916a344ad93b8e14a5d156f 031ea505afe8c8124d0f26470a20532a75d60bc40f24b7c6695cac600e19c85c49 Pco+/Kn7axQ4Eet2C39rEe/a2MPuJjJ4/eEqnqfYETW8i+LBCX6CcvtSObzH5zBog5XX7VvKVEpAXZk4RkA1+A== b9250b824c19396d68e1b80065978038821693fcf0445f58edcb6b03dcf5b051 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 u1DGdym08YiWBGNq7xtdmvehHD+VHNvTw9ysoqRA5GELm/daKLJyrd08FDO2rUx7J35dEdfxnGQfXDc9E589Rw== V+dVmFWLpCWLqi8H20zDdbI6D3WFo9v+iRQUOu4XLMT0Ry1KANUiU3AwryHDFtU8DW7ZORW2uI7VOkj10bo8WA==
12162 564 2021-09-16T03:42:29.745Z 2021-09-16T03:42:29.540Z 8ffaf93b25306290f55c2f43b24dc2e2c5a0d37ff3ba49aaf5649654e9b24edb aaccfecb6fc9873a4c08599445f8d7f259708445d75edd32fe1fc7f97c3fac9e 9c3f3b75b395dd37eadeb4cee0b93dd0bd8210f63c2da6f08cfd1c64abba209b 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME 5 038e9aa4b08a4d6c8c70600c8533abc1b849989f1e6c8060ba892282526f59f70e 038b9df22f000f91139a9574a8fc019d64b1ec3aa71df88f0fa130acdfb75fb1fe b9tukxYl4T5LAJR3PzUIwL3MolZALtFdai1wYsTgCjg3W6m7LjscvQpl9EFf7xZiL9XKhbdUEV+rwKBEznALfQ== aaccfecb6fc9873a4c08599445f8d7f259708445d75edd32fe1fc7f97c3fac9e HWEywHBRkb1NxTAQmPjLgO4ORQn1nacuucuAah460GUIco/OkIbFrSlgDxz77ViI/s96J7EIlGmfhrE1qWtbtQ== He2qyQhmDdHQofjpCeQ7FSbOH18nc7zgVsI6SQoy4b1UMhIjcKyyUWtZJy9SVDTSi940kQB2WBglFtacSUkpOQ== Ox8moCd1HVXVtjQ8KnWnj8xNT8zN+BgA0gWTUgjWqnrlDthlfkOmb6/8emKmSIEkUEgjOxXqRyaaL1YB1/bI+g==
12163 564 2021-09-16T05:32:12.619Z 2021-09-16T05:32:12.307Z 23f727b899c2ffbba76065ab169f887487fc7a7627dd8babf22faf592a68f479 1003067fabee5fb8612152ca62b8d1f19b983bca756687e7964ad19adbaabb26 eb5c80a7417123a0070f07dbc91f5ffb165d003c6f539bb355372824627fb523 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME 6 02f6f4f5aa287a3489eb44359dda8a8010fed6e1fa356f59a5ebeeee38085e2dd6 020c053b76bb123bb541d980fd4219fc8c9d600f6005c67530802a045a3a2dc49b rriXzRU6Ng6a2BUki9zt/WkmZqlMz+jBQBs2nFPz1jm1wUxLkl6MXCua6Nc6fIwceePkJ5nmmERW6R99dMs21g== 1003067fabee5fb8612152ca62b8d1f19b983bca756687e7964ad19adbaabb26 TxhULDx+XC4ySVjAF7+ZBgf1qsuIa5MlRY0KhVJvDTIfo8EqVHn2I+gIjd1aZ1zxkIDZe9cfOUyDjonXXbUjhg== 3IMbkEiQxX+9930TyImil3OjWCSpy5SHRAvnnWGJwPgIbY4D5cTMK0aj7OJRWmjVGa+sdAd/RdDJtLNIPJ6ipw== ZsBpdZR9uuOjXoZfJss5pNm8EDuGYIk3sy4NspWc8nz8ZZgoMPqz8ZicT0izUe/Op0obEcQR+zQGwfYFcAKk0g==
